scope,domain,classifier,variant,sigma,mean_f1,std_f1
cross,pd_to_hd,xgb,target_relative,0.05,0.8197103,0.0035596124658305904
cross,pd_to_hd,xgb,target_relative,0.1,0.8063545666666666,0.004708657240938619
cross,pd_to_hd,xgb,target_relative,0.15,0.7801165333333333,0.0051098218926605155
cross,pd_to_hd,xgb,target_relative,0.2,0.7565411000000001,0.00496168551971523
cross,pd_to_hd,xgb,target_relative,0.25,0.7361584333333333,0.005425040859107744
cross,pd_to_hd,xgb,target_relative,0.5,0.6732657,0.007597223386393121
cross,pd_to_hd,lgbm,target_relative,0.0,0.809436,0.0
cross,pd_to_hd,lgbm,target_relative,0.05,0.8120480666666666,0.003061784029561554
cross,pd_to_hd,lgbm,target_relative,0.1,0.7997105,0.003738537504481369
cross,pd_to_hd,lgbm,target_relative,0.15,0.7724140333333334,0.004884027884662514
cross,pd_to_hd,lgbm,target_relative,0.2,0.7504540333333334,0.004869386079574509
cross,pd_to_hd,lgbm,target_relative,0.25,0.7292090666666665,0.006378941161370741
cross,pd_to_hd,lgbm,target_relative,0.5,0.6672662999999999,0.004922645925404
cross,hd_to_pd,rf,pooled_relative,0.0,0.74745,0.0
cross,hd_to_pd,rf,pooled_relative,0.05,0.7841989333333333,0.0032339345091073435
cross,hd_to_pd,rf,pooled_relative,0.1,0.7883141000000001,0.003801969402097129
cross,hd_to_pd,rf,pooled_relative,0.15,0.7649248333333333,0.004752252715062213
cross,hd_to_pd,rf,pooled_relative,0.2,0.7404828,0.005737871901552047
cross,hd_to_pd,rf,pooled_relative,0.25,0.7223074333333336,0.005540638390227646
cross,hd_to_pd,rf,pooled_relative,0.5,0.6561662333333335,0.0063591007046015745
cross,hd_to_pd,knn,pooled_relative,0.0,0.603957,0.0
cross,hd_to_pd,knn,pooled_relative,0.05,0.6063952666666668,0.002721218564937559
cross,hd_to_pd,knn,pooled_relative,0.1,0.6113645666666668,0.004917553833187682
cross,hd_to_pd,knn,pooled_relative,0.15,0.6134115333333334,0.00444720428051644
cross,hd_to_pd,knn,pooled_relative,0.2,0.6147175333333333,0.0047653668074131945
cross,hd_to_pd,knn,pooled_relative,0.25,0.6171962000000001,0.005407021771861028
cross,hd_to_pd,knn,pooled_relative,0.5,0.5961948333333333,0.005531931520777772
cross,hd_to_pd,svm,pooled_relative,0.0,0.624807,0.0
cross,hd_to_pd,svm,pooled_relative,0.05,0.6199528000000001,0.0037752361369396744
cross,hd_to_pd,svm,pooled_relative,0.1,0.6100365000000001,0.006402550767279098
cross,hd_to_pd,svm,pooled_relative,0.15,0.6014229666666667,0.005751826609319696
cross,hd_to_pd,svm,pooled_relative,0.2,0.5906525666666667,0.0052651756147371765
cross,hd_to_pd,svm,pooled_relative,0.25,0.5843924666666667,0.005212217621448028
cross,hd_to_pd,svm,pooled_relative,0.5,0.5620995999999999,0.00686964864633833
cross,hd_to_pd,dt,pooled_relative,0.0,0.74745,0.0
cross,hd_to_pd,dt,pooled_relative,0.05,0.7798507000000001,0.003003576731624918
cross,hd_to_pd,dt,pooled_relative,0.1,0.7640003333333334,0.004371852210119458
cross,hd_to_pd,dt,pooled_relative,0.15,0.7329072999999998,0.005560159276743664
cross,hd_to_pd,dt,pooled_relative,0.2,0.7036813666666666,0.006507151691545357
cross,hd_to_pd,dt,pooled_relative,0.25,0.682105,0.00573746706098275
cross,hd_to_pd,dt,pooled_relative,0.5,0.6220005333333333,0.008330251446026286
cross,hd_to_pd,qda,pooled_relative,0.0,0.829398,0.0
cross,hd_to_pd,qda,pooled_relative,0.05,0.7906164333333334,0.0032018765476571416
cross,hd_to_pd,qda,pooled_relative,0.1,0.6359522666666668,0.006462352656538581
cross,hd_to_pd,qda,pooled_relative,0.15,0.49957646666666666,0.006587434672755092
cross,hd_to_pd,qda,pooled_relative,0.2,0.4383404333333333,0.004840740308752537
cross,hd_to_pd,qda,pooled_relative,0.25,0.41316319999999995,0.0027590739875845097
cross,hd_to_pd,qda,pooled_relative,0.5,0.39387386666666674,0.0004943258546492484
cross,hd_to_pd,xgb,pooled_relative,0.0,0.74745,0.0
cross,hd_to_pd,xgb,pooled_relative,0.05,0.7802904333333333,0.0037175827953429413
cross,hd_to_pd,xgb,pooled_relative,0.1,0.7640952333333334,0.004223450645795601
cross,hd_to_pd,xgb,pooled_relative,0.15,0.7335043000000001,0.004546240304569982
cross,hd_to_pd,xgb,pooled_relative,0.2,0.7037119000000001,0.005478394940818547
cross,hd_to_pd,xgb,pooled_relative,0.25,0.6831701333333334,0.005036364703820105
cross,hd_to_pd,xgb,pooled_relative,0.5,0.6220472333333333,0.006291692227184122
cross,hd_to_pd,lgbm,pooled_relative,0.0,0.74745,0.0
cross,hd_to_pd,lgbm,pooled_relative,0.05,0.7799758666666665,0.00369970033952736
cross,hd_to_pd,lgbm,pooled_relative,0.1,0.7653199666666668,0.004073352152401167
cross,hd_to_pd,lgbm,pooled_relative,0.15,0.7328435,0.004631971470863847
cross,hd_to_pd,lgbm,pooled_relative,0.2,0.7034427333333334,0.005335438552464676
cross,hd_to_pd,lgbm,pooled_relative,0.25,0.6815440333333332,0.007306405217735134
cross,hd_to_pd,lgbm,pooled_relative,0.5,0.6203939999999999,0.005299682976855532
cross,hd_to_pd,rf,source_relative,0.0,0.74745,0.0
cross,hd_to_pd,rf,source_relative,0.05,0.7884787666666667,0.0036686048807774863
cross,hd_to_pd,rf,source_relative,0.1,0.7787367333333333,0.004403130124349493
cross,hd_to_pd,rf,source_relative,0.15,0.7471906666666666,0.004925558090790022
cross,hd_to_pd,rf,source_relative,0.2,0.7212046666666667,0.006322904746774351
cross,hd_to_pd,rf,source_relative,0.25,0.7037305,0.005858037683388522
cross,hd_to_pd,rf,source_relative,0.5,0.6408225666666667,0.006249047991954209
cross,hd_to_pd,knn,source_relative,0.0,0.603957,0.0
cross,hd_to_pd,knn,source_relative,0.05,0.6070072666666665,0.0029305517890843968
cross,hd_to_pd,knn,source_relative,0.1,0.6127399000000001,0.004912301015361063
cross,hd_to_pd,knn,source_relative,0.15,0.6150944333333331,0.004310393050990006
cross,hd_to_pd,knn,source_relative,0.2,0.6153932666666666,0.004683787076150301
cross,hd_to_pd,knn,source_relative,0.25,0.6165491333333333,0.004971893219740929
cross,hd_to_pd,knn,source_relative,0.5,0.5898242666666668,0.006072317900526736
cross,hd_to_pd,svm,source_relative,0.0,0.624807,0.0
cross,hd_to_pd,svm,source_relative,0.05,0.6190231333333333,0.003997234386451445
cross,hd_to_pd,svm,source_relative,0.1,0.6052583333333333,0.006505899059677503
cross,hd_to_pd,svm,source_relative,0.15,0.5946966,0.0057459842804974915
cross,hd_to_pd,svm,source_relative,0.2,0.5841543333333333,0.005348814830591372
cross,hd_to_pd,svm,source_relative,0.25,0.5773935,0.005384414819483717
cross,hd_to_pd,svm,source_relative,0.5,0.5560539666666666,0.006309293301501195
cross,hd_to_pd,dt,source_relative,0.0,0.74745,0.0
cross,hd_to_pd,dt,source_relative,0.05,0.7798552,0.0034740019891602893
cross,hd_to_pd,dt,source_relative,0.1,0.749421,0.004969521679612421
cross,hd_to_pd,dt,source_relative,0.15,0.7114375999999998,0.0059719955285568865
cross,hd_to_pd,dt,source_relative,0.2,0.6822734666666668,0.007047499232343708
cross,hd_to_pd,dt,source_relative,0.25,0.6616741999999999,0.005716874582593475
cross,hd_to_pd,dt,source_relative,0.5,0.6068738,0.00739093014257433
cross,hd_to_pd,qda,source_relative,0.0,0.829398,0.0
cross,hd_to_pd,qda,source_relative,0.05,0.7750298666666666,0.004033598408312387
